delta_t,x,y,delta_x,delta_y,speed_x,speed_y
33,-592.0069,-847.10974,-6.281006,-6.401367,-0.19033352,-0.19398083
32,-619.31586,-874.6616,-27.30896,-27.55188,-0.853405,-0.86099625
35,-626.5367,-860.5267,-7.220825,14.134949,-0.20630929,0.40385568
33,-650.4772,-921.36993,-23.94049,-60.84326,-0.7254694,-1.8437352
32,-650.01794,-927.94745,0.45922852,-6.5775146,0.014350891,-0.20554733
35,-655.2226,-934.17194,-5.204651,-6.2244873,-0.1487043,-0.1778425
33,-636.42926,-918.3401,18.793335,15.831848,0.569495,0.479753
32,-653.37024,-903.52325,-16.940979,14.8168335,-0.5294056,0.46302605
35,-670.6833,-918.512,-17.31305,-14.98877,-0.49465856,-0.42825055
33,-652.2901,-890.0646,18.393188,28.447449,0.55736935,0.8620439
32,-556.461,-795.3129,95.8291,94.75165,2.9946594,2.960989
35,-593.5417,-1021.1443,-37.08069,-225.83136,-1.0594482,-6.4523244
33,-581.94934,-1004.9253,11.592346,16.218994,0.35128322,0.49148467
32,-592.79944,-1059.0884,-10.850098,-54.163086,-0.33906555,-1.6925964
50,-588.7992,-1077.9849,4.000244,-18.896484,0.080004886,-0.3779297
49,-557.1185,-1045.0312,31.680664,32.953613,0.64654416,0.6725227
37,-546.4284,-1017.55225,10.6901245,27.479004,0.28892228,0.7426758
32,-541.10724,-1005.0458,5.321167,12.50647,0.16628647,0.39082718
37,-543.34283,-997.2449,-2.2355957,7.8009033,-0.060421504,0.21083522
32,-536.44275,-993.586,6.9000854,3.6588745,0.21562767,0.11433983
33,-527.1782,-981.3408,9.264526,12.245178,0.2807432,0.371066
34,-511.82703,-963.8916,15.351196,17.449219,0.45150578,0.5132123
33,-495.75256,-973.51794,16.074463,-9.626343,0.48710492,-0.29170737
31,-489.57928,-969.8566,6.173279,3.661316,0.19913803,0.11810697
33,-489.17682,-956.77673,0.40246582,13.079895,0.012195934,0.39636046
37,-483.12292,-955.69916,6.053894,1.0775757,0.16361876,0.029123668
32,-483.75067,-938.6694,-0.6277466,17.029785,-0.01961708,0.5321808
36,-483.18225,-930.7899,0.5684204,7.8794556,0.015789457,0.21887377
31,-512.13416,-888.72815,-28.951904,42.061768,-0.9339324,1.3568312
31,-513.74243,-870.55005,-1.6082764,18.1781,-0.051879883,0.5863903
33,-518.07715,-854.6478,-4.334717,15.902222,-0.13135505,0.4818855
37,-514.01294,-841.8258,4.064209,12.8220215,0.109843485,0.3465411
31,-519.396,-830.5636,-5.3830566,11.262207,-0.17364699,0.36329702
37,-524.63086,-821.5383,-5.2348633,9.025269,-0.14148279,0.24392618
32,-514.83673,-817.96216,9.794128,3.5761719,0.3060665,0.11175537
32,-520.7267,-808.135,-5.8899536,9.827148,-0.18406105,0.3070984
31,-525.5823,-806.2643,-4.855591,1.8707275,-0.15663196,0.06034605
42,-526.7514,-811.9407,-1.1691284,-5.6763916,-0.027836392,-0.13515218
59,-526.6046,-809.0803,0.14678955,2.8603516,0.0024879584,0.048480537
37,-527.0731,-812.354,-0.46850586,-3.2736816,-0.01266232,-0.08847788
31,-528.0801,-810.12024,-1.006958,2.2337646,-0.032482516,0.07205693
32,-523.9281,-804.6926,4.1519775,5.4276123,0.1297493,0.16961288
37,-513.96765,-802.30505,9.960449,2.3875732,0.26920134,0.06452901
67,-519.65955,-815.2042,-5.6918945,-12.89917,-0.08495365,-0.19252492
31,-527.92206,-805.4072,-8.262512,9.796997,-0.26653266,0.31603217
63,-541.3259,-794.02625,-13.40387,11.380981,-0.21275984,0.1806505
36,-549.8254,-798.2025,-8.499451,-4.1762695,-0.23609585,-0.116007484
32,-554.7705,-779.88745,-4.9451294,18.315063,-0.1545353,0.57234573
32,-557.5251,-736.43665,-2.7545776,43.450806,-0.08608055,1.3578377
42,-551.1904,-727.0637,6.334656,9.372925,0.15082514,0.22316487
62,-581.17096,-648.4059,-29.98053,78.65784,-0.48355693,1.2686747
33,-567.2246,-746.06866,13.94635,-97.66278,0.42261666,-2.9594781
62,-574.3067,-791.11584,-7.0820923,-45.04718,-0.114227295,-0.72656745
38,-576.8189,-791.8158,-2.512207,-0.6999512,-0.06611071,-0.018419767
62,-582.0124,-795.72675,-5.1934814,-3.9109497,-0.08376583,-0.063079834
43,-583.8145,-801.5674,-1.802124,-5.840637,-0.041909862,-0.13582878
57,-595.43146,-828.4869,-11.616943,-26.919495,-0.20380603,-0.47227183
37,-583.76996,-838.7329,11.661499,-10.246033,0.31517565,-0.2769198
30,-569.0849,-835.69055,14.685059,3.0423584,0.48950195,0.101411946
33,-557.8547,-835.7454,11.230225,-0.054870605,0.34030983,-0.0016627456
38,-559.1726,-844.4214,-1.3179321,-8.675964,-0.034682423,-0.22831485
31,-558.59875,-847.78955,0.57385254,-3.368164,0.018511372,-0.10865045
36,-562.27826,-856.2242,-3.6795044,-8.434631,-0.10220846,-0.23429531
33,-565.21027,-845.8972,-2.9320068,10.326965,-0.088848695,0.31293833
69,-542.5587,-854.5104,22.65155,-8.613159,0.32828334,-0.12482839
30,-541.6623,-857.8052,0.89642334,-3.2947998,0.029880779,-0.10982666
32,-528.35455,-844.11206,13.307739,13.693115,0.41586685,0.42790985
38,-542.9405,-826.3778,-14.5859375,17.734253,-0.38384047,0.46669087
30,-533.8624,-810.03577,9.078064,16.342041,0.30260214,0.5447347
31,-513.1226,-795.44073,20.739807,14.595032,0.669026,0.47080746
38,-512.40497,-791.0967,0.71765137,4.344055,0.018885562,0.11431724
31,-483.67075,-758.27924,28.734222,32.817444,0.9269104,1.0586272
31,-496.42023,-771.8651,-12.749481,-13.585876,-0.4112736,-0.4382541
39,-498.6987,-757.64746,-2.278473,14.217651,-0.058422383,0.36455515
30,-503.3451,-755.7865,-4.646393,1.8609619,-0.15487976,0.062032063
31,-511.3979,-735.1301,-8.052795,20.656372,-0.2597676,0.66633457
