delta_t,x,y,delta_x,delta_y,speed_x,speed_y
30,-80.2514,-791.3036,-49.79876,-42.20764,-1.6599586,-1.4069214
33,-90.41901,-717.94727,-10.167603,73.35632,-0.30810916,2.222919
32,-68.05786,-819.3458,22.361145,-101.39856,0.6987858,-3.168705
35,-126.2461,-768.8167,-58.18824,50.529114,-1.6625211,1.443689
34,-178.9939,-642.57635,-52.747795,126.24036,-1.5514058,3.7129517
31,-213.16931,-638.92456,-34.175415,3.6517944,-1.1024327,0.11779982
35,-287.30173,-738.41064,-74.132416,-99.486084,-2.118069,-2.8424594
33,-270.70123,-793.0397,16.600494,-54.62903,0.50304526,-1.6554251
32,-330.29974,-670.9147,-59.59851,122.125,-1.8624535,3.8164062
35,-405.95346,-641.5552,-75.65372,29.359497,-2.1615348,0.83884275
33,-436.06952,-613.32227,-30.116058,28.23291,-0.91260785,0.8555427
32,-467.88232,-709.3921,-31.812805,-96.069824,-0.99415016,-3.002182
35,-478.1318,-619.39886,-10.249481,89.993225,-0.29284233,2.571235
32,-585.20154,-826.2231,-107.06973,-206.82422,-3.3459291,-6.463257
33,-480.6682,-763.50226,104.533325,62.720825,3.1676764,1.9006311
35,-530.2805,-639.9711,-49.612305,123.53113,-1.4174944,3.529461
32,-554.1308,-641.972,-23.85028,-2.0008545,-0.7453213,-0.0625267
33,-599.0058,-616.2025,-44.875,25.76947,-1.3598485,0.780893
35,-603.141,-584.85767,-4.135193,31.344849,-0.118148364,0.8955671
32,-585.90625,-645.144,17.234741,-60.286316,0.53858566,-1.8839474
33,-688.94415,-668.8961,-103.0379,-23.752136,-3.1223607,-0.7197617
34,-659.0623,-697.6924,29.881836,-28.796265,0.8788775,-0.846949
33,-626.81555,-681.85376,32.246765,15.838623,0.9771747,0.47995827
33,-585.70264,-669.889,41.112915,11.964783,1.2458459,0.36256918
34,-748.90955,-686.0031,-163.20691,-16.114136,-4.8002033,-0.47394517
33,-770.81494,-645.49475,-21.905396,40.50836,-0.6637999,1.2275261
32,-803.6651,-615.39655,-32.85016,30.098206,-1.0265675,0.9405689
38,-776.03656,-593.1598,27.62854,22.236755,0.7270668,0.5851778
30,-791.3042,-611.3124,-15.267639,-18.152588,-0.5089213,-0.60508627
32,-796.086,-598.82697,-4.7817993,12.485413,-0.14943123,0.39016914
38,-815.4633,-609.1578,-19.37732,-10.330811,-0.5099295,-0.27186343
30,-867.41943,-678.5072,-51.956116,-69.34943,-1.7318705,-2.3116477
32,-870.4775,-700.42487,-3.0580444,-21.917664,-0.09556389,-0.684927
38,-961.238,-730.5462,-90.7605,-30.121338,-2.3884342,-0.7926668
30,-754.1592,-682.7092,207.0788,47.836975,6.9026265,1.5945659
32,-886.5078,-715.6798,-132.34863,-32.97058,-4.135895,-1.0303307
